product_id,brand,category_lv1,category_lv2,price_band,price_min,price_max,launch_date,core_claims
620053164692,花洛莉亚,彩妆,眼部彩妆,9.0,9.0,9.0,2020-07-15 20:34:33,显色|防水双头|双头眉笔|旋转眉笔|极细|棕色|砍刀眉笔
625045668018,FUNNY ELVES,彩妆,定妆,79.0-153.0,79.0,153.0,2020-10-15 18:44:07,定妆|持妆|控油|遮瑕柔焦|雾面
625805788092,芙丽芳丝,护肤,面部清洁,80.0,80.0,80.0,2021-10-14 21:11:11,保湿|清洁|补水敏感肌|温和
627346056453,曼秀雷敦,护肤,唇部护理,27.0-54.0,27.0,54.0,2020-12-02 13:52:28,保湿|去角质|润唇|滋润|补水|防晒|防裂防干裂
627402068692,六神,洗护,洗浴产品,40.0-55.0,40.0,55.0,2020-11-04 09:58:50,保湿|滋润|留香|补水家庭装|菌菇类成分|身体清洁|香氛
628115038230,薇诺娜,护肤,面部护理,185.0,185.0,185.0,2020-09-28 11:14:09,保湿|滋润|舒缓|补水多合一|多效
628238577594,滴露,洗涤,家清,71.0-213.0,71.0,213.0,2020-12-02 13:57:06,杀菌|清洁喷雾型洗涤剂|多功能
628770908142,可复美,护肤,面部护理,101.0,101.0,101.0,2020-10-21 17:58:01,保湿|修护|抗衰|滋润|舒缓|补水水润|紧致|舒敏敏感肌|温和|精华面膜
630935606076,植村秀,彩妆,面部底妆,13.0,13.0,13.0,2023-09-19 16:58:28,持妆|遮瑕油性皮肤|混油皮
640403525636,柏瑞美,彩妆,定妆,25.0-1023.0,25.0,1023.0,2021-05-18 15:03:21,保湿|定妆|持妆|控油|防水柔焦|油性皮肤|雾面
640638628770,可复美,护肤,医疗器械类,227.0-455.0,227.0,455.0,2021-06-11 14:22:31,修护二类医疗器械|敏感肌
641343186329,HBN,护肤,面部护理,278.0-301.0,278.0,301.0,2021-04-14 11:29:04,保湿|修护|滋润|舒缓|补水水润换季|闪修精华|高保湿
641737137575,韩方五谷,洗护,洗浴产品,30.0-71.0,30.0,71.0,2021-04-28 14:36:57,控油|滋润|留香|补水|除螨|香体二合一|多合一|身体清洁|香氛|香水型|香水沐浴露
644447874130,名创优品,彩妆,眼部彩妆,18.0-31.0,18.0,31.0,2021-06-11 14:49:44,持妆|防水不易晕染|极细|棕色
646749659092,尔木萄,美妆工具,化妆辅助类工具,19.0-59.0,19.0,59.0,2021-06-23 17:01:52,干湿两用|气垫
651588553248,卡姿兰,彩妆,定妆,122.0-269.0,122.0,269.0,2021-08-25 16:49:59,定妆|持妆|控油|防水柔焦|水散粉|黑磁散粉
652418338889,超能,洗涤,衣物清洁护理,26.0-180.0,26.0,180.0,2021-08-11 17:15:28,抑菌
653324065367,宝玑米,护肤,身体护理,66.0-130.0,66.0,130.0,2021-10-14 19:55:41,保湿|清爽|滋润|留香|香体冷霜|晚安身体乳|栀子花香|香体乳|香氛
657099655389,孔凤春,护肤,面部护理,20.0-41.0,20.0,41.0,2022-04-27 15:17:43,保湿|控油|清爽|舒缓|补水保湿喷雾|气雾剂|水乳|湿敷
657166708796,兔头妈妈,护肤,婴童护肤,60.0-181.0,60.0,181.0,2021-11-12 16:39:19,保湿|滋润分龄护理|婴幼产品|秋冬|胎脂
657889321461,KATO-KATO,彩妆,面部底妆,73.0-113.0,73.0,113.0,2021-11-04 13:13:52,保湿|遮瑕新年限定|痘印|痘痘肌|裸感|遮斑点|遮法令纹|黑眼圈
658382335590,立白,洗涤,家清,14.9,14.9,14.9,2021-12-23 17:01:29,按压式|柠檬香|香氛
659833815594,ONEFULL,洗涤,衣物清洁护理,81.0-236.0,81.0,236.0,2021-12-24 00:52:43,彩漂|柔顺|清洁|芳香|锁色去污
660528689954,健美创研,彩妆,眼部彩妆,13.0-20.0,13.0,20.0,2021-11-23 16:19:52,持妆|立体|锁色|防水小金条|极细|野生眉
662992279175,AARYE,护肤,手足护理,47.0,47.0,47.0,2021-12-30 17:05:21,保湿植萃|联名|香氛
663071222983,欧莱雅,护肤,护肤套装,356.0-929.0,356.0,929.0,2021-12-20 21:39:53,保湿|修护|抗衰抗皱|紧致新年限定|水乳
666758456222,卡洛美,洗护,洗发护发,101.0-192.0,101.0,192.0,2022-04-13 14:37:06,保湿|修护|清洁|补水|锁色发色护理|头发洗护
667773404680,蜂花,洗护,洗发护发,40.0,40.0,40.0,2022-05-10 11:26:04,固发|强韧|控油|清爽|蓬松去油头发洗护|无硅油
668064473331,珂拉琪,彩妆,唇部彩妆,49.0-610.0,49.0,610.0,2022-03-01 14:20:07,持妆|提升气色|显色|防沾杯低饱和度|柔雾|水感|水雾|水雾唇釉|限定
668818394430,WHITE&WHITE LION,口腔护理,牙膏,20.0,20.0,20.0,2022-11-08 11:29:33,去异味|美白清新口气口腔香氛|柑橘调
669237494893,美肤宝,护肤,防晒及晒后护理,7.9,7.9,7.9,2023-06-26 15:10:04,美白|防晒|隔离体验装|光防护
670118478570,海飞丝,洗护,洗发护发,61.0-164.0,61.0,164.0,2022-03-16 17:51:02,去屑|控油|柔顺|止痒|清洁|清爽去油头发洗护
674372380468,屈臣氏,护肤,面部清洁,11.0-35.0,11.0,35.0,2022-08-24 14:28:37,保湿|清洁卸妆便携|无刺激|温和
674872699119,高露洁,口腔护理,牙膏,46.0-103.0,46.0,103.0,2022-07-13 11:15:41,去异味|美白清新口气按压式|直立式
674886379933,一页,护肤,婴童护肤,131.0-395.0,131.0,395.0,2022-05-11 16:16:15,保湿|滋润冬季|婴幼产品|秋冬|高保湿
676277681140,贝曜洁,洗涤,家清,16.0,16.0,16.0,2022-06-28 15:29:32,清洁
676749417936,THE ORDINARY,护肤,面部护理,75.0-200.0,75.0,200.0,2022-07-27 16:50:08,去痘印|去闭口|控油|清洁刷酸|成分浓度宣称|果酸焕肤|痘印|痘痘肌|精华面膜
677661623671,橘朵,彩妆,面部修饰,34.0-60.0,34.0,60.0,2022-07-27 15:12:33,修容|提亮肤色|立体一体盘|三合一|多合一
678689107550,百雀羚,护肤,面部护理,71.0-142.0,71.0,142.0,2022-10-12 11:01:44,保湿|嫩肤|清爽|滋养|舒缓|补水柔嫩水乳|精华水|草本
679396365892,毛戈平,彩妆,定妆,328.0-758.0,328.0,758.0,2022-08-03 15:39:43,定妆|控油|提亮肤色光感|新年限定
689015729477,好爸爸,洗涤,家清,13.0,13.0,13.0,2022-11-01 15:56:06,杀菌|清洁家庭装|瓶装
689606415898,润本,洗涤,衣物清洁护理,27.0-85.0,27.0,85.0,2022-11-01 16:13:54,柔顺|留香|防静电喷雾型洗涤剂|香氛
690121043582,SDX,护肤,颈部护理,114.0-342.0,114.0,342.0,2022-11-15 14:35:39,保湿|去颈纹|抗衰抗皱|淡化细纹|紧致滚珠
695815171913,超能,洗涤,衣物清洁护理,41.0,41.0,41.0,2023-02-16 14:47:42,抑菌瓶装
700567791402,菲丽菲拉,彩妆,眼部彩妆,25.0-39.0,25.0,39.0,2023-03-02 11:19:15,定型|显色|锁色|防晕染|防水棕色
702206844311,超能,洗涤,衣物清洁护理,11.0-111.0,11.0,111.0,2023-02-23 11:59:33,清洁去污柑橘调|柠檬香|透明|香氛
702971065768,高露洁,口腔护理,牙膏,17.0,17.0,17.0,2023-05-16 10:53:41,清洁牙齿|美白去牙渍含盐
706261293526,MIJIA,美容仪器,口腔美容仪,259.0,259.0,259.0,2023-03-29 14:59:37,便携|情人节
707738024350,涵贝尔,美妆工具,化妆修饰类工具,12.0,12.0,12.0,2023-04-12 18:27:21,nan
710123991330,JEAN-MISS,香氛,人体香氛,93.0,93.0,93.0,2023-04-07 11:37:46,留香玫瑰花香|花果香|花香调|茶香
710503099389,戈雅,彩妆,指（趾）甲彩妆,12.0-1388.0,12.0,1388.0,2023-08-07 15:28:27,裸色
711777763931,卡姿兰,彩妆,面部底妆,120.0-165.0,120.0,165.0,2023-04-18 15:52:31,持妆|控油|遮瑕
713780106567,小奥汀,彩妆,眼部彩妆,59.0-119.0,59.0,119.0,2023-04-25 11:58:22,定型|持妆|显色|防晕染|防水双头|双头眉笔|水眉笔|野生眉
720401364154,儒意,洗护,洗发护发,44.0-95.0,44.0,95.0,2023-06-13 10:06:22,修护|柔顺抚平毛躁|染烫受损护理免蒸发膜|受损修护|头发洗护
